[O:1]=[C:2]1[NH:3][CH2:5][CH:6]=[CH:4]1	[O:1]=[C:2]1[NH:3][CH:5]=[CH:6][CH2:4]1	InChI=1S/C4H5NO/c6-4-2-1-3-5-4/h1-2H,3H2,(H,5,6)	InChI=1S/C4H5NO/c6-4-2-1-3-5-4/h1,3H,2H2,(H,5,6)
[CH3:6][N:3]([CH2:5][CH:7]=[CH:4]1)[C:2]1=[O:1]	[CH3:6][N:3]([CH:5]=[CH:7][CH2:4]1)[C:2]1=[O:1]	InChI=1S/C5H7NO/c1-6-4-2-3-5(6)7/h2-3H,4H2,1H3	InChI=1S/C5H7NO/c1-6-4-2-3-5(6)7/h2,4H,3H2,1H3
[O:1]=[C:2]([CH:4]1[c:6]2[cH:9][cH:14][cH:20][cH:15][cH:10]2)[O:3][C:5]([c:8]2[cH:12][cH:18][cH:23][cH:19][cH:13]2)=[C:7]1[c:11]1[cH:16][cH:21][cH:24][cH:22][cH:17]1	[O:1]=[C:2]([C:4]([c:6]1[cH:9][cH:14][cH:20][cH:15][cH:10]1)=[C:7]1[c:11]2[cH:16][cH:21][cH:24][cH:22][cH:17]2)[O:3][CH:5]1[c:8]1[cH:12][cH:18][cH:23][cH:19][cH:13]1	InChI=1S/C22H16O2/c23-22-20(17-12-6-2-7-13-17)19(16-10-4-1-5-11-16)21(24-22)18-14-8-3-9-15-18/h1-15,20H	InChI=1S/C22H16O2/c23-22-20(17-12-6-2-7-13-17)19(16-10-4-1-5-11-16)21(24-22)18-14-8-3-9-15-18/h1-15,21H
[O:1]=[C:2]1[O:3][CH:5]=[CH:6][CH2:4]1	[O:1]=[C:2]1[O:3][CH2:5][CH:6]=[CH:4]1	InChI=1S/C4H4O2/c5-4-2-1-3-6-4/h1,3H,2H2	InChI=1S/C4H4O2/c5-4-2-1-3-6-4/h1-2H,3H2
[O:1]=[C:2]1[O:3][C:5]([c:7]2[cH:8][cH:10][cH:12][cH:11][cH:9]2)=[CH:6][CH2:4]1	[O:1]=[C:2]([CH:4]=[CH:6]1)[O:3][CH:5]1[c:7]1[cH:8][cH:10][cH:12][cH:11][cH:9]1	InChI=1S/C10H8O2/c11-10-7-6-9(12-10)8-4-2-1-3-5-8/h1-6H,7H2	InChI=1S/C10H8O2/c11-10-7-6-9(12-10)8-4-2-1-3-5-8/h1-7,9H
[CH3:7][CH:3]([CH:6]=[CH:5]1)[S:1][C:2]1=[O:4]	[CH3:7][C:3]([S:1]1)=[CH:6][CH2:5][C:2]1=[O:4]	InChI=1S/C5H6OS/c1-4-2-3-5(6)7-4/h2-4H,1H3	InChI=1S/C5H6OS/c1-4-2-3-5(6)7-4/h2H,3H2,1H3
[CH3:8][S:6][CH:3]([CH:7]=[CH:5]1)[S:1][C:2]1=[O:4]	[CH3:8][S:6][C:3]([S:1]1)=[CH:7][CH2:5][C:2]1=[O:4]	InChI=1S/C5H6OS2/c1-7-5-3-2-4(6)8-5/h2-3,5H,1H3	InChI=1S/C5H6OS2/c1-7-5-3-2-4(6)8-5/h3H,2H2,1H3
[O:1]=[C:2]1[O:3][CH2:5][CH:6]=[CH:4]1	[O:1]=[C:2]1[O:3][CH:5]=[CH:6][CH2:4]1	InChI=1S/C4H4O2/c5-4-2-1-3-6-4/h1-2H,3H2	InChI=1S/C4H4O2/c5-4-2-1-3-6-4/h1,3H,2H2
[O:4]=[C:2]1[S:1][CH2:3][CH:6]=[CH:5]1	[O:4]=[C:2]1[S:1][CH:3]=[CH:6][CH2:5]1	InChI=1S/C4H4OS/c5-4-2-1-3-6-4/h1-2H,3H2	InChI=1S/C4H4OS/c5-4-2-1-3-6-4/h1,3H,2H2
[CH:7]1=[CH:8][c:4]([cH:9][cH:13][cH:10][cH:5]2)[c:2]2[S:1][CH:3]1[c:6]1[cH:11][cH:14][cH:16][cH:15][cH:12]1	[CH2:8]1[c:4]([cH:9][cH:13][cH:10][cH:5]2)[c:2]2[S:1][C:3]([c:6]2[cH:11][cH:14][cH:16][cH:15][cH:12]2)=[CH:7]1	InChI=1S/C15H12S/c1-2-6-12(7-3-1)15-11-10-13-8-4-5-9-14(13)16-15/h1-11,15H	InChI=1S/C15H12S/c1-2-6-12(7-3-1)15-11-10-13-8-4-5-9-14(13)16-15/h1-9,11H,10H2
[CH2:3]1[S:1][c:2]([cH:5][cH:9][cH:11][cH:8]2)[c:4]2[C:7]([c:10]2[cH:12][cH:14][cH:16][cH:15][cH:13]2)=[CH:6]1	[CH:6]([CH:7]1[c:10]2[cH:12][cH:14][cH:16][cH:15][cH:13]2)=[CH:3][S:1][c:2]2[c:4]1[cH:8][cH:11][cH:9][cH:5]2	InChI=1S/C15H12S/c1-2-6-12(7-3-1)13-10-11-16-15-9-5-4-8-14(13)15/h1-10H,11H2	InChI=1S/C15H12S/c1-2-6-12(7-3-1)13-10-11-16-15-9-5-4-8-14(13)15/h1-11,13H
